http://dbpedia.org/resource/US_Airways,US Airways,US,AWE,CACTUS
http://dbpedia.org/resource/Virgin_Express,Virgin Express,TV,VEX,VIRGIN EXPRESS
http://dbpedia.org/resource/ATA_Airlines,ATA Airlines,TZ,AMT,AMTRAN
http://dbpedia.org/resource/Air_California,Air California/AirCal,OC,ACL,AIRCAL
http://dbpedia.org/resource/Air_Florida,Air Florida,QH,FLA,PALM
http://dbpedia.org/resource/Air_Harrods,Air Harrods,-,WDK,WOODSTOCK
http://dbpedia.org/resource/Air_Midwest,Air Midwest,ZV,AMW,AIR MIDWEST
http://dbpedia.org/resource/Air_Mikisew,Air Mikisew,V8,N/A,AURORA
http://dbpedia.org/resource/Air_Southwest,Air Southwest,SZ,WOW,SWALLOW
http://dbpedia.org/resource/Alaska_Central_Express,Alaska Central Express,KO,AER,Ace Air
http://dbpedia.org/resource/America_West_Airlines,America West Airlines,HP,AWE,CACTUS
http://dbpedia.org/resource/Arctic_Sunwest_Charters,Arctic Sunwest Charters,-,-,Arctic Sunwest
http://dbpedia.org/resource/Atlantic_Airlines_(United_Kingdom),Atlantic Airlines,-,NPT,NEPTUNE
http://dbpedia.org/resource/Atlantic_Express_(airline),Atlantic Express,-,SBV,RIPPLE
http://dbpedia.org/resource/Aurigny_Air_Services,Aurigny Air Services,GR,AUR,AYLINE
http://dbpedia.org/resource/Aviaco,Aviaco,AO,AYC,AVIACO
http://dbpedia.org/resource/BA_CityFlyer,BA CityFlyer,CJ,CFE,FLYER
http://dbpedia.org/resource/BMI_Regional,BMI Regional,BM,BMR,KITTIWAKE
http://dbpedia.org/resource/Blink_(airline),Blink,-,BKK,BLINKAIR
http://dbpedia.org/resource/Bookajet,Bookajet,-,BOO,BOOKAJET
http://dbpedia.org/resource/Braniff_International_Airways,Braniff International Airways,BN,BNF,BRANIFF
http://dbpedia.org/resource/Bristow_Helicopters,Bristow Helicopters,-,BHL,BRISTOW
http://dbpedia.org/resource/British_Airways,British Airways,BA,BAW,http://dbpedia.org/resource/Speedbird
http://dbpedia.org/resource/British_Airways,British Airways,BA,BAW,SHUTTLE
http://dbpedia.org/resource/British_Airways,British Airways,BA,SHT,http://dbpedia.org/resource/Speedbird
http://dbpedia.org/resource/British_Airways,British Airways,BA,SHT,SHUTTLE
http://dbpedia.org/resource/British_International_Helicopters,British International Helicopters,BS,BIH,BRINTEL
http://dbpedia.org/resource/Coyne_Airways,Coyne Airways,7C,COY,COYNE AIR
http://dbpedia.org/resource/East-West_Airlines_(Australia),East-West Airlines,EW,EWA,EastWest
http://dbpedia.org/resource/Eastern_Air_Lines,Eastern Air Lines,EA,EAL,EASTERN
http://dbpedia.org/resource/Eastern_Airways,Eastern Airways,T3,EZE,EASTFLIGHT
http://dbpedia.org/resource/Eos_Airlines,eos,E0,ESS,NEW DAWN
http://dbpedia.org/resource/European_Executive,European Executive,-,ETV,EURO EXEC
http://dbpedia.org/resource/Flybe,Flybe,BE,BEE,JERSEY
http://dbpedia.org/resource/Gama_Aviation,Gama Aviation FZC,-,GMA,GAMA
http://dbpedia.org/resource/Gama_Aviation,Gama Aviation FZC,-,GMA,GAMAJET
http://dbpedia.org/resource/Gama_Aviation,Gama Aviation FZC,-,GMA,GAMAMENA
http://dbpedia.org/resource/Gama_Aviation,Gama Aviation FZC,-,GAJ,GAMA
http://dbpedia.org/resource/Gama_Aviation,Gama Aviation FZC,-,GAJ,GAMAJET
http://dbpedia.org/resource/Gama_Aviation,Gama Aviation FZC,-,GAJ,GAMAMENA
http://dbpedia.org/resource/Gama_Aviation,Gama Aviation FZC,-,GSH,GAMA
http://dbpedia.org/resource/Gama_Aviation,Gama Aviation FZC,-,GSH,GAMAJET
http://dbpedia.org/resource/Gama_Aviation,Gama Aviation FZC,-,GSH,GAMAMENA
http://dbpedia.org/resource/Gama_Aviation,Gama Aviation Ltd,-,GMA,GAMA
http://dbpedia.org/resource/Gama_Aviation,Gama Aviation Ltd,-,GMA,GAMAJET
http://dbpedia.org/resource/Gama_Aviation,Gama Aviation Ltd,-,GMA,GAMAMENA
http://dbpedia.org/resource/Gama_Aviation,Gama Aviation Ltd,-,GAJ,GAMA
http://dbpedia.org/resource/Gama_Aviation,Gama Aviation Ltd,-,GAJ,GAMAJET
http://dbpedia.org/resource/Gama_Aviation,Gama Aviation Ltd,-,GAJ,GAMAMENA
http://dbpedia.org/resource/Gama_Aviation,Gama Aviation Ltd,-,GSH,GAMA
http://dbpedia.org/resource/Gama_Aviation,Gama Aviation Ltd,-,GSH,GAMAJET
http://dbpedia.org/resource/Gama_Aviation,Gama Aviation Ltd,-,GSH,GAMAMENA
http://dbpedia.org/resource/Gama_Aviation,Gama Charters Inc,-,GMA,GAMA
http://dbpedia.org/resource/Gama_Aviation,Gama Charters Inc,-,GMA,GAMAJET
